# Number of quaternions: 2
33273
2333.000 0.414 -0.644 0.499 0.405 0.414 -0.644 0.499 0.405 
2367.000 0.415 -0.640 0.508 0.400 0.415 -0.640 0.508 0.400 
2400.000 0.412 -0.640 0.513 0.397 0.412 -0.640 0.513 0.397 
2433.000 0.413 -0.637 0.518 0.394 0.413 -0.637 0.518 0.394 
2467.000 0.413 -0.635 0.522 0.393 0.413 -0.635 0.522 0.393 
2500.000 0.413 -0.634 0.524 0.392 0.413 -0.634 0.524 0.392 
2533.000 0.412 -0.633 0.526 0.392 0.412 -0.633 0.526 0.392 
2567.000 0.413 -0.631 0.528 0.391 0.413 -0.631 0.528 0.391 
2600.000 0.414 -0.629 0.529 0.391 0.414 -0.629 0.529 0.391 
2633.000 0.417 -0.627 0.530 0.391 0.417 -0.627 0.530 0.391 
2667.000 0.422 -0.624 0.530 0.390 0.422 -0.624 0.530 0.390 
2700.000 0.425 -0.622 0.529 0.390 0.425 -0.622 0.529 0.390 
2733.000 0.427 -0.622 0.529 0.389 0.427 -0.622 0.529 0.389 
2767.000 0.429 -0.621 0.529 0.388 0.429 -0.621 0.529 0.388 
2800.000 0.434 -0.618 0.528 0.387 0.434 -0.618 0.528 0.387 
2833.000 0.441 -0.614 0.528 0.386 0.441 -0.614 0.528 0.386 
2867.000 0.450 -0.610 0.525 0.387 0.450 -0.610 0.525 0.387 
2900.000 0.462 -0.603 0.521 0.390 0.462 -0.603 0.521 0.390 
2933.000 0.468 -0.599 0.517 0.394 0.468 -0.599 0.517 0.394 
2967.000 0.477 -0.594 0.512 0.398 0.477 -0.594 0.512 0.398 
3000.000 0.483 -0.591 0.506 0.401 0.483 -0.591 0.506 0.401 
3033.000 0.490 -0.588 0.500 0.404 0.490 -0.588 0.500 0.404 
3067.000 0.494 -0.588 0.496 0.406 0.494 -0.588 0.496 0.406 
3100.000 0.500 -0.585 0.492 0.406 0.500 -0.585 0.492 0.406 
3133.000 0.507 -0.582 0.489 0.406 0.507 -0.582 0.489 0.406 
3167.000 0.512 -0.580 0.489 0.403 0.512 -0.580 0.489 0.403 
3200.000 0.520 -0.575 0.488 0.401 0.520 -0.575 0.488 0.401 
3233.000 0.532 -0.569 0.487 0.396 0.532 -0.569 0.487 0.396 
3267.000 0.537 -0.568 0.480 0.399 0.537 -0.568 0.480 0.399 
3300.000 0.544 -0.567 0.472 0.401 0.544 -0.567 0.472 0.401 
3333.000 0.547 -0.569 0.463 0.404 0.547 -0.569 0.463 0.404 
3367.000 0.550 -0.570 0.454 0.408 0.550 -0.570 0.454 0.408 
