# Number of quaternions: 3
33273
1633.000 0.531 -0.573 0.472 0.408 0.531 -0.573 0.472 0.408 0.204 -0.071 0.449 0.867 
1667.000 0.541 -0.567 0.470 0.406 0.541 -0.567 0.470 0.406 0.215 -0.059 0.498 0.838 
1700.000 0.547 -0.564 0.473 0.399 0.547 -0.564 0.473 0.399 0.229 -0.037 0.543 0.807 
1733.000 0.547 -0.564 0.473 0.400 0.547 -0.564 0.473 0.400 0.237 -0.025 0.585 0.776 
1767.000 0.548 -0.563 0.472 0.400 0.548 -0.563 0.472 0.400 0.240 -0.017 0.611 0.755 
1800.000 0.546 -0.565 0.470 0.402 0.546 -0.565 0.470 0.402 0.234 -0.017 0.624 0.745 
1833.000 0.545 -0.566 0.468 0.406 0.545 -0.566 0.468 0.406 0.223 -0.022 0.631 0.742 
1867.000 0.541 -0.568 0.465 0.409 0.541 -0.568 0.465 0.409 0.207 -0.031 0.634 0.745 
1900.000 0.540 -0.570 0.462 0.412 0.540 -0.570 0.462 0.412 0.183 -0.047 0.645 0.741 
1933.000 0.542 -0.569 0.458 0.416 0.542 -0.569 0.458 0.416 0.153 -0.080 0.666 0.725 
1967.000 0.542 -0.567 0.457 0.419 0.542 -0.567 0.457 0.419 0.120 -0.119 0.691 0.702 
2000.000 0.531 -0.573 0.460 0.422 0.531 -0.573 0.460 0.422 0.080 -0.177 0.717 0.670 
2033.000 0.516 -0.582 0.452 0.437 0.516 -0.582 0.452 0.437 0.034 -0.249 0.729 0.636 
2067.000 0.471 -0.622 0.427 0.458 0.471 -0.622 0.427 0.458 -0.020 -0.329 0.726 0.604 
2100.000 0.455 -0.638 0.437 0.441 0.455 -0.638 0.437 0.441 -0.075 -0.410 0.701 0.579 
2133.000 0.455 -0.638 0.455 0.423 0.455 -0.638 0.455 0.423 -0.137 -0.478 0.662 0.561 
2167.000 0.432 -0.652 0.475 0.403 0.432 -0.652 0.475 0.403 -0.219 -0.540 0.594 0.555 
2200.000 0.407 -0.663 0.486 0.397 0.407 -0.663 0.486 0.397 -0.314 -0.562 0.510 0.570 
2233.000 0.400 -0.663 0.493 0.397 0.400 -0.663 0.493 0.397 -0.381 -0.558 0.448 0.586 
2267.000 0.407 -0.654 0.493 0.405 0.407 -0.654 0.493 0.405 -0.377 -0.596 0.395 0.589 
2300.000 0.402 -0.655 0.495 0.404 0.402 -0.655 0.495 0.404 -0.369 -0.563 0.402 0.621 
2333.000 0.414 -0.644 0.499 0.405 0.414 -0.644 0.499 0.405 -0.357 -0.555 0.422 0.622 
2367.000 0.415 -0.640 0.508 0.400 0.415 -0.640 0.508 0.400 -0.358 -0.553 0.424 0.622 
2400.000 0.412 -0.640 0.513 0.397 0.412 -0.640 0.513 0.397 -0.357 -0.545 0.427 0.627 
2433.000 0.413 -0.637 0.518 0.394 0.413 -0.637 0.518 0.394 -0.355 -0.539 0.435 0.628 
2467.000 0.413 -0.635 0.522 0.393 0.413 -0.635 0.522 0.393 -0.354 -0.535 0.441 0.628 
2500.000 0.413 -0.634 0.524 0.392 0.413 -0.634 0.524 0.392 -0.355 -0.529 0.443 0.631 
2533.000 0.412 -0.633 0.526 0.392 0.412 -0.633 0.526 0.392 -0.354 -0.524 0.446 0.633 
2567.000 0.413 -0.631 0.528 0.391 0.413 -0.631 0.528 0.391 -0.353 -0.522 0.448 0.634 
2600.000 0.414 -0.629 0.529 0.391 0.414 -0.629 0.529 0.391 -0.353 -0.520 0.449 0.635 
2633.000 0.417 -0.627 0.530 0.391 0.417 -0.627 0.530 0.391 -0.353 -0.518 0.450 0.637 
2667.000 0.422 -0.624 0.530 0.390 0.422 -0.624 0.530 0.390 -0.354 -0.517 0.450 0.637 
2700.000 0.425 -0.622 0.529 0.390 0.425 -0.622 0.529 0.390 -0.355 -0.516 0.448 0.638 
2733.000 0.427 -0.622 0.529 0.389 0.427 -0.622 0.529 0.389 -0.356 -0.513 0.447 0.640 
2767.000 0.429 -0.621 0.529 0.388 0.429 -0.621 0.529 0.388 -0.356 -0.508 0.448 0.644 
